Company,Pattern,Time Frame,Created Date & Time,Open,High,Low,Close,Volume
TCS,5min,Hammer,2025-11-04 13:20:00,3247.0,3247.45,3240.1,3244.9,60271.0
TCS,5min,Hammer,2025-11-04 13:25:00,3244.95,3245.0,3242.05,3244.55,50916.0
TCS,5min,Hammer,2025-11-04 14:45:00,3227.75,3228.55,3222.75,3228.25,68110.0
TCS,5min,Dragonfly Doji,2025-11-04 14:45:00,3227.75,3228.55,3222.75,3228.25,68110.0
TCS,5min,Hammer,2025-11-06 10:05:00,3459.0,3459.6,3456.7,3459.4,12267.0
TCS,5min,Evening Star,2025-11-06 10:10:00,3459.6,3461.5,3455.1,3455.8,21332.0
TCS,5min,Hammer,2025-11-06 12:25:00,3475.5,3476.2,3473.2,3476.1,14854.0
TCS,5min,Evening Star,2025-11-06 12:35:00,3476.8,3479.0,3474.4,3474.4,21930.0
TCS,5min,Hammer,2025-11-06 13:30:00,3480.2,3480.9,3476.6,3479.1,34583.0
TCS,5min,Hammer,2025-11-07 09:15:00,3327.7,3327.7,3310.9,3324.0,1434975.0
TCS,5min,Hammer,2025-11-07 09:30:00,3318.1,3318.1,3307.1,3315.9,242887.0
TCS,5min,Hammer,2025-11-07 10:00:00,3305.0,3305.6,3300.0,3305.3,99188.0
TCS,5min,Dragonfly Doji,2025-11-07 10:00:00,3305.0,3305.6,3300.0,3305.3,99188.0
TCS,5min,Hammer,2025-11-07 13:00:00,3272.9,3273.1,3270.0,3272.2,70882.0
TCS,5min,Fishing Window,2025-12-02 09:15:00,3971.1,4009.6,3970.0,4005.0,115862.0
TCS,5min,Hammer,2025-12-02 09:50:00,4006.95,4008.25,4002.15,4008.0,32482.0
TCS,5min,Hammer,2025-12-02 13:40:00,3965.8,3966.65,3957.2,3963.45,9250.0
TCS,5min,Hammer,2025-12-03 10:15:00,3500.85,3503.4,3491.8,3498.1,86545.0
TCS,5min,Hammer,2025-12-03 10:20:00,3498.1,3501.55,3490.3,3499.95,172672.0
TCS,5min,Hammer,2025-12-03 12:20:00,3500.35,3500.4,3498.35,3500.0,45800.0
TCS,5min,Hammer,2025-12-03 13:05:00,3505.4,3505.55,3501.35,3504.1,11303.0
TCS,5min,Hammer,2025-12-03 13:10:00,3504.1,3504.95,3500.8,3504.75,18634.0
TCS,5min,Hammer,2025-12-03 14:50:00,3514.25,3514.7,3510.3,3513.2,24406.0
TCS,5min,Hammer,2025-12-03 15:00:00,3511.7,3512.5,3507.35,3510.45,73554.0
TCS,5min,Hammer,2025-12-03 15:20:00,3503.25,3503.25,3499.0,3501.95,117551.0
TCS,5min,Fishing Window,2025-12-05 09:50:00,3523.6,3543.0,3523.0,3543.0,80453.0
TCS,5min,Hammer,2025-12-05 12:40:00,3577.0,3577.0,3568.7,3575.4,21354.0
TCS,5min,Hammer,2025-12-06 09:55:00,3454.0,3454.4,3450.0,3453.1,52735.0
TCS,5min,Hammer,2025-12-06 12:30:00,3461.9,3462.5,3459.0,3461.0,21970.0
TCS,5min,Dragonfly Doji,2025-12-06 15:15:00,3433.5,3433.5,3429.4,3433.5,66778.0
TCS,10min,Hammer,2025-01-01 13:50:00,4118.7,4120.0,4114.0,4119.95,14382.0
TCS,10min,Three White Soldiers,2025-01-04 12:30:00,3546.25,3554.1,3546.25,3552.35,29921.0
TCS,10min,Hammer,2025-01-13 09:50:00,4283.85,4289.6,4276.0,4286.85,75537.0
TCS,10min,Hammer,2025-01-14 10:40:00,4279.25,4279.35,4272.45,4277.8,66706.0
TCS,10min,Hammer,2025-01-15 11:00:00,4222.0,4222.65,4213.7,4219.25,46816.0
TCS,10min,Hammer,2025-01-15 11:50:00,4223.65,4227.3,4218.3,4225.6,15202.0
TCS,10min,Hammer,2025-01-15 13:10:00,4226.05,4226.35,4221.6,4225.05,41164.0
TCS,10min,Hammer,2025-01-16 12:00:00,4209.5,4209.9,4202.55,4208.9,49557.0
TCS,10min,Dragonfly Doji,2025-01-16 12:20:00,4204.55,4204.7,4201.2,4204.5,43308.0
TCS,10min,Hammer,2025-01-16 13:20:00,4198.05,4202.65,4191.85,4200.7,56954.0
TCS,10min,Hammer,2025-01-16 14:30:00,4199.7,4200.0,4195.65,4198.35,57148.0
TCS,10min,Hammer,2025-01-17 15:10:00,4124.5,4124.55,4121.5,4124.1,88483.0
TCS,10min,Hammer,2025-01-20 09:50:00,4086.4,4087.35,4071.0,4083.75,40438.0
TCS,10min,Hammer,2025-01-21 10:40:00,4066.2,4067.35,4060.05,4065.0,13710.0
TCS,10min,Three White Soldiers,2025-01-21 12:50:00,4062.2,4088.6,4059.1,4082.15,34280.0
TCS,10min,Hammer,2025-01-21 15:20:00,4036.45,4039.15,4032.85,4038.0,80736.0
TCS,10min,Fishing Window,2025-01-22 09:10:00,4050.0,4067.9,4044.2,4067.9,61268.0
TCS,10min,Three White Soldiers,2025-01-22 09:30:00,4070.0,4077.0,4063.5,4076.85,30483.0
TCS,10min,Three White Soldiers,2025-01-22 09:40:00,4076.55,4087.95,4074.0,4078.65,108389.0
TCS,10min,Three White Soldiers,2025-01-22 10:30:00,4114.35,4126.65,4107.4,4123.7,94771.0
TCS,10min,Hammer,2025-01-22 13:20:00,4149.85,4151.75,4143.2,4147.9,66438.0
TCS,10min,Hammer,2025-01-22 13:50:00,4152.0,4155.0,4147.0,4153.95,42522.0
TCS,10min,Hammer,2025-01-22 14:10:00,4147.95,4151.15,4141.2,4150.0,71787.0
TCS,10min,Evening Star,2025-01-22 15:10:00,4160.15,4161.65,4150.3,4154.5,153243.0
TCS,10min,Hammer,2025-01-23 14:10:00,4157.25,4159.2,4151.05,4155.25,49786.0
TCS,10min,Hammer,2025-01-23 14:30:00,4146.4,4149.75,4140.05,4148.95,44418.0
TCS,10min,Hammer,2025-01-23 15:20:00,4150.0,4150.9,4143.4,4148.0,104588.0
TCS,10min,Hammer,2025-01-24 13:40:00,4154.0,4154.55,4150.2,4153.0,22797.0
TCS,10min,Hammer,2025-01-24 14:10:00,4153.1,4153.1,4149.85,4152.9,46735.0
TCS,10min,Dragonfly Doji,2025-01-24 14:10:00,4153.1,4153.1,4149.85,4152.9,46735.0
TCS,10min,Hammer,2025-01-27 14:30:00,4058.65,4063.15,4051.45,4061.6,30958.0
TCS,10min,Three White Soldiers,2025-01-28 13:50:00,4051.5,4060.0,4050.85,4057.25,28291.0
TCS,10min,Hammer,2025-01-28 14:30:00,4069.9,4073.45,4061.95,4072.0,86704.0
TCS,10min,Fishing Window,2025-01-29 09:10:00,4054.0,4074.0,4054.0,4072.75,41273.0
TCS,10min,Hammer,2025-01-29 10:50:00,4098.95,4100.0,4091.0,4100.0,27343.0
TCS,10min,Hammer,2025-01-29 13:00:00,4081.25,4081.25,4072.0,4079.1,16666.0
TCS,10min,Hammer,2025-01-29 13:30:00,4092.15,4094.85,4088.05,4093.95,18354.0
TCS,10min,Dragonfly Doji,2025-01-29 14:50:00,4093.25,4094.25,4088.65,4093.7,28311.0
TCS,10min,Hammer,2025-01-29 15:20:00,4102.0,4105.0,4094.35,4105.0,47061.0
TCS,10min,Fishing Window,2025-01-30 15:00:00,4079.85,4102.25,4079.85,4099.25,187071.0
TCS,10min,Hammer,2025-01-31 10:10:00,4095.65,4103.0,4085.25,4100.6,28312.0
TCS,10min,Hammer,2025-01-31 13:50:00,4105.8,4105.85,4100.35,4104.45,24248.0
TCS,10min,Three White Soldiers,2025-01-31 15:00:00,4105.25,4117.6,4105.25,4108.2,159383.0
TCS,10min,Hammer,2025-01-31 15:20:00,4118.05,4121.0,4105.7,4114.15,159328.0
TCS,10min,Hammer,2025-02-01 12:10:00,4135.2,4136.9,4127.2,4133.45,17329.0
TCS,10min,Hammer,2025-02-04 09:20:00,3548.45,3550.0,3536.35,3549.6,26204.0
TCS,10min,Dragonfly Doji,2025-02-04 09:20:00,3548.45,3550.0,3536.35,3549.6,26204.0
TCS,10min,Hammer,2025-02-04 11:50:00,3546.5,3546.7,3540.05,3545.85,29937.0
TCS,10min,Hammer,2025-02-04 13:30:00,3556.05,3556.75,3550.0,3555.0,46104.0
TCS,10min,Hammer,2025-02-05 09:40:00,3474.9,3479.0,3465.8,3477.1,57091.0
TCS,10min,Hammer,2025-02-05 14:30:00,3429.0,3431.9,3425.2,3430.6,39619.0
TCS,10min,Hammer,2025-02-06 12:40:00,3452.3,3452.6,3448.1,3451.9,32137.0
TCS,10min,Hammer,2025-02-06 14:30:00,3442.4,3443.7,3435.0,3440.5,55462.0
TCS,10min,Evening Star,2025-02-06 15:20:00,3451.4,3453.6,3442.0,3445.8,115153.0
TCS,10min,Hammer,2025-02-07 09:10:00,3487.2,3487.2,3441.1,3472.7,200233.0
TCS,10min,Hammer,2025-02-07 12:00:00,3437.7,3437.9,3435.5,3437.8,11711.0
TCS,10min,Dragonfly Doji,2025-02-07 12:00:00,3437.7,3437.9,3435.5,3437.8,11711.0
TCS,10min,Hammer,2025-02-07 12:50:00,3433.1,3433.2,3430.3,3432.6,20429.0
TCS,10min,Hammer,2025-02-13 12:20:00,3941.05,3942.0,3935.2,3939.45,30068.0
TCS,10min,Hammer,2025-02-14 09:40:00,3911.25,3911.55,3902.95,3910.75,26489.0
TCS,10min,Dragonfly Doji,2025-02-14 09:40:00,3911.25,3911.55,3902.95,3910.75,26489.0
TCS,10min,Hammer,2025-02-17 11:50:00,3927.6,3928.0,3923.1,3926.2,27782.0
TCS,10min,Hammer,2025-02-17 12:20:00,3921.2,3921.6,3917.3,3920.25,9824.0
TCS,10min,Hammer,2025-02-17 14:10:00,3916.15,3916.9,3911.0,3914.45,20632.0
TCS,10min,Hammer,2025-02-20 12:30:00,3780.0,3780.0,3775.75,3779.8,32292.0
TCS,10min,Dragonfly Doji,2025-02-20 12:30:00,3780.0,3780.0,3775.75,3779.8,32292.0
TCS,10min,Hammer,2025-02-21 09:30:00,3802.7,3803.3,3792.95,3800.95,47199.0
TCS,10min,Hammer,2025-02-21 09:40:00,3800.95,3801.0,3788.6,3799.0,55041.0
TCS,10min,Hammer,2025-02-21 10:10:00,3805.4,3805.6,3794.35,3802.2,58759.0
TCS,10min,Hammer,2025-02-24 09:50:00,3722.0,3723.1,3711.05,3722.55,68145.0
TCS,10min,Dragonfly Doji,2025-02-24 09:50:00,3722.0,3723.1,3711.05,3722.55,68145.0
TCS,10min,Dragonfly Doji,2025-02-24 12:10:00,3701.4,3702.25,3695.3,3701.65,78990.0
TCS,10min,Evening Star,2025-02-25 12:10:00,3631.95,3631.95,3626.9,3629.85,37462.0
TCS,10min,Hammer,2025-02-27 09:40:00,3606.75,3611.0,3600.7,3609.4,113259.0
TCS,10min,Hammer,2025-02-27 10:30:00,3608.5,3608.55,3604.05,3607.05,49764.0
TCS,10min,Hammer,2025-02-27 11:10:00,3610.25,3611.35,3608.85,3610.85,44253.0
TCS,10min,Evening Star,2025-02-27 12:00:00,3613.85,3614.2,3609.0,3610.2,38937.0
TCS,10min,Hammer,2025-02-27 14:20:00,3616.0,3618.3,3610.0,3618.15,73174.0
TCS,10min,Hammer,2025-02-28 13:40:00,3476.1,3478.0,3472.6,3477.5,66699.0
TCS,10min,Hammer,2025-02-28 14:50:00,3476.75,3477.95,3471.35,3475.4,108599.0
TCS,10min,Hammer,2025-03-01 10:40:00,4113.1,4113.2,4103.0,4109.95,55078.0
TCS,10min,Hammer,2025-03-01 14:30:00,4108.3,4110.0,4105.5,4109.3,21584.0
TCS,10min,Hammer,2025-03-02 10:00:00,4025.95,4027.85,4017.9,4023.55,19297.0
TCS,10min,Hammer,2025-03-02 13:50:00,4059.9,4060.6,4052.8,4058.45,20211.0
TCS,10min,Three White Soldiers,2025-03-03 10:30:00,3488.85,3505.0,3487.4,3500.15,417328.0
TCS,10min,Three White Soldiers,2025-03-04 14:10:00,3425.65,3427.7,3424.0,3426.5,105353.0
TCS,10min,Hammer,2025-03-04 14:40:00,3420.9,3422.0,3415.05,3419.1,97377.0
TCS,10min,Hammer,2025-03-06 10:00:00,3432.8,3434.7,3427.2,3434.7,54904.0
TCS,10min,Hammer,2025-03-06 10:40:00,3435.4,3437.6,3430.3,3437.6,75266.0
TCS,10min,Hammer,2025-03-06 11:20:00,3428.6,3429.7,3424.3,3429.7,28845.0
TCS,10min,Hammer,2025-03-07 09:50:00,3424.5,3424.8,3420.4,3423.6,112583.0
TCS,10min,Hammer,2025-03-07 11:40:00,3419.1,3420.3,3411.2,3417.1,57074.0
TCS,10min,Three White Soldiers,2025-03-13 10:00:00,3498.5,3500.45,3494.2,3498.9,56637.0
TCS,10min,Hammer,2025-03-13 12:20:00,3497.45,3499.5,3494.15,3499.0,19170.0
TCS,10min,Hammer,2025-03-13 15:10:00,3509.7,3512.0,3505.15,3511.45,143649.0
TCS,10min,Hammer,2025-03-17 11:20:00,3485.55,3485.55,3478.55,3483.85,88974.0
TCS,10min,Three White Soldiers,2025-03-18 10:10:00,3542.45,3547.0,3540.1,3543.75,50632.0
TCS,10min,Dragonfly Doji,2025-03-19 13:00:00,3475.05,3475.1,3472.1,3475.05,49433.0
TCS,10min,Evening Star,2025-03-19 14:50:00,3501.15,3503.9,3498.0,3498.4,59313.0
TCS,10min,Fishing Window,2025-03-20 09:10:00,3512.0,3535.35,3512.0,3531.75,129909.0
TCS,10min,Hammer,2025-03-20 10:40:00,3565.5,3565.95,3558.55,3563.95,41853.0
TCS,10min,Hammer,2025-03-20 11:30:00,3569.6,3570.0,3566.0,3568.55,24607.0
TCS,10min,Hammer,2025-03-20 12:10:00,3565.05,3565.75,3561.0,3564.2,40037.0
TCS,10min,Hammer,2025-03-20 14:20:00,3562.45,3565.0,3557.1,3564.55,73344.0
TCS,10min,Hammer,2025-03-20 14:30:00,3564.55,3567.0,3561.05,3566.1,49842.0
TCS,10min,Hammer,2025-03-21 10:40:00,3589.7,3593.95,3580.2,3593.5,57395.0
TCS,10min,Three White Soldiers,2025-03-24 10:00:00,3594.9,3605.0,3592.65,3605.0,54255.0
TCS,10min,Hammer,2025-03-24 10:20:00,3607.5,3608.0,3600.0,3605.95,49095.0
TCS,10min,Hammer,2025-03-24 10:40:00,3601.45,3603.0,3595.1,3602.65,32502.0
TCS,10min,Hammer,2025-03-24 11:10:00,3603.7,3604.5,3601.0,3602.85,19711.0
TCS,10min,Hammer,2025-03-24 11:40:00,3599.4,3600.7,3593.5,3598.05,28622.0
TCS,10min,Hammer,2025-03-24 12:00:00,3602.3,3603.0,3600.0,3601.55,24102.0
TCS,10min,Three White Soldiers,2025-03-24 13:10:00,3632.1,3642.7,3630.55,3636.0,63725.0
TCS,10min,Hammer,2025-03-24 13:20:00,3636.0,3639.5,3631.25,3637.9,35872.0
TCS,10min,Evening Star,2025-03-24 13:40:00,3638.6,3641.6,3630.7,3633.6,40136.0
TCS,10min,Hammer,2025-03-24 15:10:00,3630.0,3631.25,3626.55,3630.7,78816.0
TCS,10min,Hammer,2025-03-24 15:20:00,3630.7,3633.9,3626.0,3633.0,79312.0
TCS,10min,Fishing Window,2025-03-25 09:10:00,3645.0,3690.8,3645.0,3685.0,263363.0
TCS,10min,Hammer,2025-03-25 09:20:00,3686.25,3694.0,3667.1,3690.55,231357.0
TCS,10min,Hammer,2025-03-25 10:50:00,3660.8,3661.7,3638.0,3656.75,58212.0
TCS,10min,Hammer,2025-03-25 12:30:00,3679.0,3681.25,3675.85,3680.45,30887.0
TCS,10min,Hammer,2025-03-25 13:50:00,3678.5,3678.65,3674.0,3677.75,22603.0
TCS,10min,Hammer,2025-03-25 14:40:00,3673.1,3675.75,3667.15,3675.75,72224.0
TCS,10min,Fishing Window,2025-03-26 14:00:00,3654.5,3664.95,3654.2,3662.5,46511.0
TCS,10min,Hammer,2025-03-27 12:30:00,3650.75,3652.95,3647.4,3652.0,19938.0
TCS,10min,Hammer,2025-03-28 15:20:00,3600.1,3605.0,3591.9,3604.0,200622.0
TCS,10min,Hammer,2025-04-02 15:20:00,4109.7,4111.7,4095.1,4105.15,370370.0
TCS,10min,Three White Soldiers,2025-04-03 10:40:00,3528.2,3542.0,3524.0,3540.0,64592.0
TCS,10min,Hammer,2025-04-03 13:10:00,3526.5,3527.05,3518.75,3525.65,38354.0
TCS,10min,Hammer,2025-04-03 14:10:00,3525.65,3526.9,3523.9,3526.4,49764.0
TCS,10min,Three White Soldiers,2025-04-03 14:30:00,3528.35,3531.2,3525.4,3531.1,35571.0
TCS,10min,Hammer,2025-04-03 15:20:00,3536.0,3536.15,3526.8,3533.0,116230.0
TCS,10min,Hammer,2025-04-04 10:00:00,3346.25,3347.0,3338.0,3343.55,70520.0
TCS,10min,Hammer,2025-04-04 12:00:00,3323.35,3323.4,3319.0,3322.2,104445.0
TCS,10min,Three White Soldiers,2025-04-06 09:50:00,3382.5,3385.9,3380.0,3383.9,48085.0
TCS,10min,Hammer,2025-04-06 12:30:00,3383.8,3385.2,3380.1,3385.2,34748.0
TCS,10min,Hammer,2025-04-07 12:20:00,3418.8,3418.9,3415.0,3418.0,5986.0
TCS,10min,Hammer,2025-04-07 15:20:00,3419.5,3420.0,3418.0,3420.0,48725.0
TCS,10min,Hammer,2025-04-15 11:10:00,3256.2,3256.2,3248.0,3254.3,44732.0
TCS,10min,Hammer,2025-04-15 14:00:00,3247.0,3250.3,3242.6,3249.0,90690.0
TCS,10min,Hammer,2025-04-15 14:10:00,3249.0,3251.0,3243.5,3250.7,69030.0
TCS,10min,Dragonfly Doji,2025-04-17 09:30:00,3226.1,3226.9,3218.0,3226.5,123694.0
TCS,10min,Hammer,2025-04-17 12:00:00,3256.9,3257.4,3253.0,3256.1,36607.0
TCS,10min,Hammer,2025-04-17 14:20:00,3289.6,3291.0,3284.0,3291.0,63671.0
TCS,10min,Hammer,2025-04-21 11:20:00,3320.4,3322.9,3314.5,3322.5,82584.0
TCS,10min,Hammer,2025-04-21 13:40:00,3328.6,3329.6,3323.9,3327.2,110886.0
TCS,10min,Hammer,2025-04-21 15:10:00,3322.7,3324.9,3317.2,3324.6,51558.0
TCS,10min,Hammer,2025-04-22 12:20:00,3324.5,3325.2,3319.3,3323.7,58506.0
TCS,10min,Hammer,2025-04-22 14:10:00,3310.9,3314.8,3303.6,3313.7,136752.0
TCS,10min,Hammer,2025-04-23 10:10:00,3384.1,3386.1,3377.2,3381.8,95953.0
